YIL,BÖLGE,SEPET
1908,AB,"['Barley', 'Flaxseed', 'Oats', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1908,BC,"['Barley', 'Oats', 'Wheat, all']"
1908,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1908,MA,"['Barley', 'Flaxseed', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1908,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1908,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1908,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1908,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1908,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1908,PP,"['Barley', 'Flaxseed', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1908,QU,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1908,SK,"['Barley', 'Flaxseed', 'Oats', 'Rye, all', 'Tame hay', 'Wheat, all']"
1909,AB,"['Barley', 'Flaxseed', 'Oats', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1909,BC,"['Barley', 'Oats', 'Wheat, all']"
1909,CA,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Flaxseed', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
1909,MA,"['Barley', 'Flaxseed', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1909,MP,"['Barley', 'Mixed grains', 'Oats', 'Tame hay', 'Wheat, all']"
1909,NB,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1909,NS,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Tame hay', 'Wheat, all']"
1909,ON,"['Barley', 'Beans, all dry (white and coloured)', 'Buckwheat', 'Corn for grain', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all', 'Wheat, spring', 'Wheat, winter remaining']"
1909,PEI,"['Barley', 'Buckwheat', 'Corn for silage', 'Mixed grains', 'Oats', 'Peas, dry', 'Tame hay', 'Wheat, all']"
1909,PP,"['Barley', 'Flaxseed', 'Oats', 'Peas, dry', 'Rye, all', 'Sugar beets', 'Tame hay', 'Wheat, all']"
